month_year,County,vendor_name,Sale (Dollars)
2012-05,Jasper,diageoamericas,32620.639999999992
2012-05,Jefferson,diageoamericas,16152.309999999985
2012-05,Johnson,diageoamericas,223951.02000000124
2012-05,Jones,diageoamericas,21086.03999999999
2012-05,Keokuk,diageoamericas,2297.6300000000006
2012-05,Kossuth,diageoamericas,36262.67999999999
2012-05,Lee,diageoamericas,45442.09000000001
2012-05,Linn,diageoamericas,396076.16000000294
2012-05,Louisa,diageoamericas,5536.479999999998
2012-05,Lucas,diageoamericas,3027.8100000000004
2012-05,Lyon,diageoamericas,14114.309999999992
2012-05,Madison,diageoamericas,5207.6799999999985
2012-05,Mahaska,diageoamericas,20343.320000000003
2012-05,Marion,diageoamericas,29326.48
2012-05,Marshall,diageoamericas,45808.67999999998
2012-05,Mills,diageoamericas,6767.079999999999
2012-05,Mitchell,diageoamericas,7069.079999999995
2012-05,Monona,diageoamericas,10062.979999999983
2012-05,Monroe,diageoamericas,6556.44
2012-05,Montgomery,diageoamericas,7635.109999999996
2012-05,Muscatine,diageoamericas,48145.88000000008
2012-05,O'Brien,diageoamericas,22940.59000000001
2012-05,Osceola,diageoamericas,4943.409999999999
2012-05,Page,diageoamericas,17614.769999999997
2012-05,Palo Alto,diageoamericas,10455.839999999993
2012-05,Plymouth,diageoamericas,41575.20000000005
2012-05,Pocahontas,diageoamericas,5191.649999999998
2012-05,Polk,diageoamericas,1048699.639999987
2012-05,Pottawattamie,diageoamericas,175390.48000000048
2012-05,Poweshiek,diageoamericas,27867.749999999975
2012-05,Ringgold,diageoamericas,1148.68
2012-05,Sac,diageoamericas,12516.789999999988
2012-05,Scott,diageoamericas,358934.1800000022
2012-05,Shelby,diageoamericas,10821.899999999996
2012-05,Sioux,diageoamericas,29426.839999999967
2012-05,Story,diageoamericas,111392.12000000023
2012-05,Tama,diageoamericas,11074.549999999994
2012-05,Taylor,diageoamericas,2131.600000000001
2012-05,Union,diageoamericas,16036.54999999999
2012-05,Unknown,diageoamericas,4592.500000000001
2012-05,Van Buren,diageoamericas,4251.64
2012-05,Wapello,diageoamericas,48830.42000000003
2012-05,Warren,diageoamericas,42718.87999999994
2012-05,Washington,diageoamericas,25335.789999999983
2012-05,Wayne,diageoamericas,2520.25
2012-05,Webster,diageoamericas,46329.92
2012-05,Winnebago,diageoamericas,8235.369999999997
2012-05,Winneshiek,diageoamericas,23803.73999999996
2012-05,Woodbury,diageoamericas,149604.5500000003
2012-05,Worth,diageoamericas,2238.4300000000003
2012-05,Wright,diageoamericas,12346.799999999981
2012-06,Adair,diageoamericas,6887.4400000000005
2012-06,Adams,diageoamericas,983.4900000000002
2012-06,Allamakee,diageoamericas,8624.389999999992
2012-06,Appanoose,diageoamericas,8817.579999999994
2012-06,Audubon,diageoamericas,2177.5699999999997
2012-06,Benton,diageoamericas,9523.449999999993
2012-06,Black Hawk,diageoamericas,382998.9600000005
2012-06,Boone,diageoamericas,21930.929999999982
2012-06,Bremer,diageoamericas,32034.530000000006
2012-06,Buchanan,diageoamericas,25772.019999999982
2012-06,Buena Vista,diageoamericas,26051.809999999994
2012-06,Butler,diageoamericas,4267.38
2012-06,Calhoun,diageoamericas,6251.04
2012-06,Carroll,diageoamericas,68636.52
2012-06,Cass,diageoamericas,15693.67999999999
2012-06,Cedar,diageoamericas,6671.519999999992
2012-06,Cerro Gordo,diageoamericas,107332.02000000028
2012-06,Cherokee,diageoamericas,12808.929999999998
2012-06,Chickasaw,diageoamericas,7042.670000000001
2012-06,Clarke,diageoamericas,8824.089999999995
2012-06,Clay,diageoamericas,20557.209999999992
2012-06,Clayton,diageoamericas,10033.49999999999
2012-06,Clinton,diageoamericas,56390.16000000005
2012-06,Crawford,diageoamericas,12159.989999999989
2012-06,Dallas,diageoamericas,74419.81000000003
2012-06,Davis,diageoamericas,1495.89
2012-06,Decatur,diageoamericas,2237.350000000001
2012-06,Delaware,diageoamericas,16141.77999999999
2012-06,Des Moines,diageoamericas,60478.3600000001
2012-06,Dickinson,diageoamericas,166055.25000000035
2012-06,Dubuque,diageoamericas,181204.0800000005
2012-06,Emmet,diageoamericas,9479.349999999997
2012-06,Fayette,diageoamericas,16496.06999999998
2012-06,Floyd,diageoamericas,20249.829999999998
2012-06,Franklin,diageoamericas,6176.229999999998
2012-06,Fremont,diageoamericas,305.76
2012-06,Greene,diageoamericas,4824.419999999996
2012-06,Grundy,diageoamericas,5767.109999999996
2012-06,Guthrie,diageoamericas,5638.84
2012-06,Hamilton,diageoamericas,12420.379999999986
2012-06,Hancock,diageoamericas,3550.7899999999995
2012-06,Hardin,diageoamericas,30052.279999999995
2012-06,Harrison,diageoamericas,13221.699999999988
2012-06,Henry,diageoamericas,13210.309999999998
2012-06,Howard,diageoamericas,17106.579999999984
2012-06,Humboldt,diageoamericas,7523.950000000001
2012-06,Ida,diageoamericas,8522.489999999998
2012-06,Iowa,diageoamericas,35140.179999999986
2012-06,Jackson,diageoamericas,23307.119999999995
2012-06,Jasper,diageoamericas,26657.00000000003
2012-06,Jefferson,diageoamericas,10339.219999999998
2012-06,Johnson,diageoamericas,324704.92999999924
2012-06,Jones,diageoamericas,19387.869999999995
2012-06,Keokuk,diageoamericas,1198.94
2012-06,Kossuth,diageoamericas,22578.440000000017
2012-06,Lee,diageoamericas,52858.54000000004
2012-06,Linn,diageoamericas,565123.1599999983
2012-06,Louisa,diageoamericas,3453.76
2012-06,Lucas,diageoamericas,6782.309999999998
2012-06,Lyon,diageoamericas,12242.089999999998
2012-06,Madison,diageoamericas,13925.209999999995
